n_assets,treatment,control,penalty_label,field,pairs,pairs_dropped,instances,instance_median_diff,ci95_low,ci95_high,instances_treatment_better,instances_worse,instances_tied,instance_median_abs_diff,instance_iqr_diff,instance_p95_abs_diff,instance_max_abs_diff,direction
12,lbfgs_100grad,adam_0.1,Amargin,best_expectation,50,0,10,-0.004274606704711914,-0.015902996063232422,-0.001540541648864746,10,0,0,0.004274606704711914,0.011384963989257812,0.0484625101089477,0.07326650619506836,better
12,lbfgs_100grad,adam_0.1,Amargin,best_expectation_by_50,50,0,10,-0.0042743682861328125,-0.01590251922607422,-0.0010409936308860815,9,1,0,0.004922628402709961,0.011758774518966675,0.048461461067199646,0.07326459884643555,better
12,lbfgs_100grad,adam_0.1,Amargin,expectation_at_final_angles,50,0,10,-0.005962848663330078,-0.01862621307373047,-0.0025680065155029297,10,0,0,0.005962848663330078,0.012525498867034912,0.05067133903503414,0.06757354736328125,better
12,lbfgs_100grad,adam_0.1,Amargin,final_P_F,50,0,10,0.0051149598837128,-0.002787095872918144,0.021533401624537873,6,4,0,0.009382278367183972,0.016232557111834467,0.06030756726977411,0.07886232936289161,better
12,lbfgs_100grad,adam_0.1,Amargin,final_P_tau_main,50,0,10,8.482309931423515e-05,-0.000251363824645523,0.000469589518615976,6,4,0,0.00029212504159659147,0.00042650373143260367,0.0009439873421797526,0.0010441220365464687,better
12,lbfgs_100grad,adam_0.1,Amargin,final_Q_tau_main_1000,50,0,10,2.511208993083436e-06,-0.002890922728448986,0.0009994364309129922,6,4,0,7.968267250618721e-05,0.00010092785873497268,0.023435248623125814,0.03792537700105714,better
12,lbfgs_100grad,adam_0.1,Amargin,final_P_opt,50,0,10,5.222058098297566e-05,-0.000251363824645523,0.0004551578313112259,6,4,0,0.0002863681875169277,0.0004236253043927718,0.0009439873421797526,0.0010441220365464687,better
12,lbfgs_100grad,adam_0.1,Amargin,g_F,50,0,10,0.0,0.0,0.0,0,0,10,0.0,0.0,0.0,0.0,equal
12,lbfgs_100grad,adam_0.1,Amargin,rank_best_feasible,50,0,10,0.0,0.0,0.0,0,0,10,0.0,0.0,0.0,0.0,equal
12,lbfgs_100grad,adam_0.1,Amargin,objective_evaluations,50,0,10,15.0,-1.0,20.0,3,7,0,15.0,18.0,21.65,23.0,worse
12,lbfgs_100grad,adam_0.1,Amargin,gradient_evaluations,50,0,10,15.0,-1.0,20.0,3,7,0,15.0,18.0,21.65,23.0,worse
12,lbfgs_100grad,adam_0.1,Amargin,optimisation_seconds,50,0,10,6.348095895256847,2.605270715430379,7.818125097081065,0,10,0,6.348095895256847,4.588744228007272,8.326807295950129,8.602567070163786,worse
16,adam_0.03,adam_0.1,Aheur,best_expectation,50,0,10,-0.006529569625854492,-0.006754875183105469,-0.006235599517822266,10,0,0,0.006529569625854492,0.0004165172576904297,0.0068839073181152345,0.006937980651855469,better
16,adam_0.03,adam_0.1,Aheur,best_expectation_by_50,50,0,10,0.02405780553817749,0.018951892852783203,0.027013719081878662,0,10,0,0.02405780553817749,0.0070860981941223145,0.030994093418121337,0.031189680099487305,worse
16,adam_0.03,adam_0.1,Aheur,expectation_at_final_angles,50,0,10,-0.008081912994384766,-0.008262395858764648,-0.007834434509277344,10,0,0,0.008081912994384766,0.00033092498779296875,0.008512091636657714,0.008622169494628906,better
